split,target,model,balanced_accuracy,seed_sd,n_seeds,uncertainty_unit,mean,std,ci95_low,ci95_high,n_subjects,subjects
loso,content_function,EEGNet,0.5898260661585464,0.0008988268436503158,5,subject,0.5898260661585465,0.029344255167422614,0.5771247229585693,0.6034266387324148,18,"['YAC', 'YAG', 'YAK', 'YDG', 'YDR', 'YFR', 'YFS', 'YHS', 'YIS', 'YLS', 'YMD', 'YMS', 'YRH', 'YRK', 'YRP', 'YSD', 'YSL', 'YTL']"
loso,content_function,Linear,0.5649107395848744,0.0011341351559629172,5,subject,0.5649107395848745,0.018457906960535488,0.5568025206152896,0.5732993777759524,18,"['YAC', 'YAG', 'YAK', 'YDG', 'YDR', 'YFR', 'YFS', 'YHS', 'YIS', 'YLS', 'YMD', 'YMS', 'YRH', 'YRK', 'YRP', 'YSD', 'YSL', 'YTL']"
subject_dependent,content_function,EEGNet,0.5962130438573054,0.001423578275813515,5,subject,0.5962130438573053,0.03526433963073447,0.5805747378579562,0.6121311634381792,18,"['YAC', 'YAG', 'YAK', 'YDG', 'YDR', 'YFR', 'YFS', 'YHS', 'YIS', 'YLS', 'YMD', 'YMS', 'YRH', 'YRK', 'YRP', 'YSD', 'YSL', 'YTL']"
subject_dependent,content_function,Linear,0.5761411754934185,0.0014391398333406399,5,subject,0.5761411754934184,0.042529018515698194,0.5569679676200741,0.5949706043692098,18,"['YAC', 'YAG', 'YAK', 'YDG', 'YDR', 'YFR', 'YFS', 'YHS', 'YIS', 'YLS', 'YMD', 'YMS', 'YRH', 'YRK', 'YRP', 'YSD', 'YSL', 'YTL']"
mixed_subject,content_function,EEGNet,0.608279071733382,0.0004909192516164042,5,split-repeat,,,,,,
mixed_subject,content_function,Linear,0.5959292607545971,0.001400402823921785,5,split-repeat,,,,,,
loso,coarse_pos,EEGNet,0.23729162482644178,0.0014361321019637965,5,subject,0.23729162482644175,0.01246449492888772,0.23177313681661454,0.24293459383560873,18,"['YAC', 'YAG', 'YAK', 'YDG', 'YDR', 'YFR', 'YFS', 'YHS', 'YIS', 'YLS', 'YMD', 'YMS', 'YRH', 'YRK', 'YRP', 'YSD', 'YSL', 'YTL']"
loso,coarse_pos,Linear,0.22027456354208189,0.001362968888445632,5,subject,0.22027456354208186,0.010975955615972942,0.21532171860155383,0.22516762457424017,18,"['YAC', 'YAG', 'YAK', 'YDG', 'YDR', 'YFR', 'YFS', 'YHS', 'YIS', 'YLS', 'YMD', 'YMS', 'YRH', 'YRK', 'YRP', 'YSD', 'YSL', 'YTL']"
subject_dependent,coarse_pos,EEGNet,0.236828812620781,0.0009272307559196585,5,subject,0.23682881262078104,0.020199797453303293,0.2277210597156031,0.24590112467605746,18,"['YAC', 'YAG', 'YAK', 'YDG', 'YDR', 'YFR', 'YFS', 'YHS', 'YIS', 'YLS', 'YMD', 'YMS', 'YRH', 'YRK', 'YRP', 'YSD', 'YSL', 'YTL']"
subject_dependent,coarse_pos,Linear,0.2255080367635396,0.0005960694063518406,5,subject,0.22550803676353956,0.017302015983373532,0.21755859306606504,0.23306016872058155,18,"['YAC', 'YAG', 'YAK', 'YDG', 'YDR', 'YFR', 'YFS', 'YHS', 'YIS', 'YLS', 'YMD', 'YMS', 'YRH', 'YRK', 'YRP', 'YSD', 'YSL', 'YTL']"
mixed_subject,coarse_pos,EEGNet,0.24079021921992144,0.0007208908691769617,5,split-repeat,,,,,,
mixed_subject,coarse_pos,Linear,0.23144827253311456,0.0012901731836104133,5,split-repeat,,,,,,
