target,test_sentence_fold,n_test_sentences,n_subject_seed_values,mean_accuracy,standard_deviation_accuracy,mean_balanced_accuracy,standard_deviation_balanced_accuracy,mean_macro_f1,standard_deviation_macro_f1
coarse_pos,0,70,54,0.2705211617692895,0.03178027831895428,0.24105991251192524,0.01844568150505698,0.19290593369490516,0.027970988484464488
coarse_pos,1,70,54,0.2645706029551201,0.03735192293802076,0.23851735628144274,0.0205274187016028,0.19305633550059126,0.030684073030969542
coarse_pos,2,70,54,0.25766656974836016,0.03310574593877481,0.23938863352976675,0.017722350116398663,0.1923683834921903,0.030985368457714848
coarse_pos,3,70,54,0.259890012673327,0.03830157664584013,0.23521083950232716,0.019951427941676085,0.18755086942631322,0.03117428031148858
coarse_pos,4,69,54,0.2639737882916856,0.03650269753920807,0.23634087422152628,0.017403666380675864,0.18917868294983187,0.03422777761659481
content_function,0,70,54,0.539639904993919,0.09475556755356603,0.5884186059987458,0.032604868748063745,0.5100753535756847,0.07389178680151726
content_function,1,70,54,0.5397301871246835,0.08498546531001087,0.5854286813563384,0.036386875648153835,0.5075063729921723,0.06384267816323515
content_function,2,70,54,0.545051514815214,0.09558507109828207,0.5865800396277306,0.03479672748247103,0.510074691723501,0.07411368542219478
content_function,3,70,54,0.5358041158706236,0.10066369922083356,0.5875561764179617,0.03827352133126864,0.5041048139299417,0.08081999832530398
content_function,4,69,54,0.5382938062824606,0.09279448173112056,0.5891980503925557,0.03412962578209346,0.5093470415955964,0.07069987222841242
