target,test_sentence_fold,model_seed,n_test_sentences,n_subjects,result_file,mean_accuracy,mean_balanced_accuracy,mean_macro_f1
coarse_pos,0,42,70,18,stage39_formal_coarse_pos_eegnet_seed_42_sentencefold_0_original_time_subject_sentence_disjoint_results.json,0.274038072403769,0.2408730271069769,0.1930182102467149
coarse_pos,0,43,70,18,stage39_formal_coarse_pos_eegnet_seed_43_sentencefold_0_original_time_subject_sentence_disjoint_results.json,0.264636512566347,0.23940317468140027,0.18907535131928854
coarse_pos,0,44,70,18,stage39_formal_coarse_pos_eegnet_seed_44_sentencefold_0_original_time_subject_sentence_disjoint_results.json,0.27288890033775226,0.24290353574739854,0.196624239518712
coarse_pos,1,42,70,18,stage39_formal_coarse_pos_eegnet_seed_42_sentencefold_1_original_time_subject_sentence_disjoint_results.json,0.2698803934921153,0.23996376830481228,0.19808731148615905
coarse_pos,1,43,70,18,stage39_formal_coarse_pos_eegnet_seed_43_sentencefold_1_original_time_subject_sentence_disjoint_results.json,0.26840609972091267,0.2379892310479369,0.1940188250720847
coarse_pos,1,44,70,18,stage39_formal_coarse_pos_eegnet_seed_44_sentencefold_1_original_time_subject_sentence_disjoint_results.json,0.25542531565233234,0.23759906949157916,0.18706286994353
coarse_pos,2,42,70,18,stage39_formal_coarse_pos_eegnet_seed_42_sentencefold_2_original_time_subject_sentence_disjoint_results.json,0.262225577272328,0.239197255268984,0.19623612794135492
coarse_pos,2,43,70,18,stage39_formal_coarse_pos_eegnet_seed_43_sentencefold_2_original_time_subject_sentence_disjoint_results.json,0.2505331229940668,0.2383982986518133,0.18724133316401914
coarse_pos,2,44,70,18,stage39_formal_coarse_pos_eegnet_seed_44_sentencefold_2_original_time_subject_sentence_disjoint_results.json,0.2602410089786856,0.24057034666850305,0.1936276893711968
coarse_pos,3,42,70,18,stage39_formal_coarse_pos_eegnet_seed_42_sentencefold_3_original_time_subject_sentence_disjoint_results.json,0.2629048379787627,0.23327601282310337,0.18705008113717683
coarse_pos,3,43,70,18,stage39_formal_coarse_pos_eegnet_seed_43_sentencefold_3_original_time_subject_sentence_disjoint_results.json,0.25804209967818925,0.23238319578029612,0.18668506952101704
coarse_pos,3,44,70,18,stage39_formal_coarse_pos_eegnet_seed_44_sentencefold_3_original_time_subject_sentence_disjoint_results.json,0.25872310036302903,0.23997330990358184,0.18891745762074572
coarse_pos,4,42,69,18,stage39_formal_coarse_pos_eegnet_seed_42_sentencefold_4_original_time_subject_sentence_disjoint_results.json,0.26572900949351475,0.23400202615424176,0.18973409059201735
coarse_pos,4,43,69,18,stage39_formal_coarse_pos_eegnet_seed_43_sentencefold_4_original_time_subject_sentence_disjoint_results.json,0.2626725231689739,0.2391027203469238,0.1906615675594229
coarse_pos,4,44,69,18,stage39_formal_coarse_pos_eegnet_seed_44_sentencefold_4_original_time_subject_sentence_disjoint_results.json,0.26351983221256836,0.2359178761634132,0.18714039069805544
content_function,0,42,70,18,stage39_formal_content_function_eegnet_seed_42_sentencefold_0_original_time_subject_sentence_disjoint_results.json,0.5433362869106975,0.5909335738942801,0.5152134431426165
content_function,0,43,70,18,stage39_formal_content_function_eegnet_seed_43_sentencefold_0_original_time_subject_sentence_disjoint_results.json,0.5477735898262373,0.5891871939189142,0.5173004768323621
content_function,0,44,70,18,stage39_formal_content_function_eegnet_seed_44_sentencefold_0_original_time_subject_sentence_disjoint_results.json,0.5278098382448226,0.5851350501830432,0.4977121407520752
content_function,1,42,70,18,stage39_formal_content_function_eegnet_seed_42_sentencefold_1_original_time_subject_sentence_disjoint_results.json,0.5336232953504221,0.5849199510273065,0.5042964091266838
content_function,1,43,70,18,stage39_formal_content_function_eegnet_seed_43_sentencefold_1_original_time_subject_sentence_disjoint_results.json,0.537774078157961,0.5820712043311875,0.5030902365355858
content_function,1,44,70,18,stage39_formal_content_function_eegnet_seed_44_sentencefold_1_original_time_subject_sentence_disjoint_results.json,0.5477931878656671,0.5892948887105214,0.5151324733142469
content_function,2,42,70,18,stage39_formal_content_function_eegnet_seed_42_sentencefold_2_original_time_subject_sentence_disjoint_results.json,0.5408186088306499,0.5874311701899555,0.5069187613781394
content_function,2,43,70,18,stage39_formal_content_function_eegnet_seed_43_sentencefold_2_original_time_subject_sentence_disjoint_results.json,0.5375353172999309,0.5853972177016993,0.5048326014918207
content_function,2,44,70,18,stage39_formal_content_function_eegnet_seed_44_sentencefold_2_original_time_subject_sentence_disjoint_results.json,0.5568006183150607,0.5869117309915377,0.5184727123005428
content_function,3,42,70,18,stage39_formal_content_function_eegnet_seed_42_sentencefold_3_original_time_subject_sentence_disjoint_results.json,0.5361276789124511,0.5866531350660086,0.5058097883742161
content_function,3,43,70,18,stage39_formal_content_function_eegnet_seed_43_sentencefold_3_original_time_subject_sentence_disjoint_results.json,0.5330071355199689,0.5846773462873077,0.4988143482688778
content_function,3,44,70,18,stage39_formal_content_function_eegnet_seed_44_sentencefold_3_original_time_subject_sentence_disjoint_results.json,0.538277533179451,0.5913380479005685,0.5076903051467307
content_function,4,42,69,18,stage39_formal_content_function_eegnet_seed_42_sentencefold_4_original_time_subject_sentence_disjoint_results.json,0.5410707145669301,0.5866996215466567,0.5103790159783885
content_function,4,43,69,18,stage39_formal_content_function_eegnet_seed_43_sentencefold_4_original_time_subject_sentence_disjoint_results.json,0.5440311037096878,0.5968697053958049,0.5156683660565714
content_function,4,44,69,18,stage39_formal_content_function_eegnet_seed_44_sentencefold_4_original_time_subject_sentence_disjoint_results.json,0.5297796005707639,0.5840248242352059,0.5019937427518292
