representation,target,test_subject,n_model_seeds,accuracy,balanced_accuracy,macro_f1
all_fixations,coarse_pos,YAC,5,0.2170795306388527,0.2268619268784123,0.1327860090332619
all_fixations,coarse_pos,YAG,5,0.3040096715696151,0.23911524945146168,0.20646367143916183
all_fixations,coarse_pos,YAK,5,0.26959942775393414,0.2365797942880677,0.17482569547587118
all_fixations,coarse_pos,YDG,5,0.28014814814814815,0.24624753347389688,0.2090240542505121
all_fixations,coarse_pos,YDR,5,0.2750429307384087,0.2380032782808641,0.18661557695659373
all_fixations,coarse_pos,YFR,5,0.29471066907775767,0.2170483244475053,0.20277972318789975
all_fixations,coarse_pos,YFS,5,0.24172282449457955,0.22850623676582119,0.17927887628853437
all_fixations,coarse_pos,YHS,5,0.23525701671397034,0.2191627640947252,0.14009427922125323
all_fixations,coarse_pos,YIS,5,0.23885321100917428,0.2610103563306229,0.1911436994000624
all_fixations,coarse_pos,YLS,5,0.26441893830703017,0.23781239452877873,0.21184178095972728
all_fixations,coarse_pos,YMD,5,0.3134245488796351,0.2539370788651605,0.21247415984592144
all_fixations,coarse_pos,YMS,5,0.27303030303030307,0.24893740038623074,0.2008842759999923
all_fixations,coarse_pos,YRH,5,0.2664642561413194,0.22324950699930812,0.1780680592551227
all_fixations,coarse_pos,YRK,5,0.29960092417559336,0.24035055022563948,0.1838468574313271
all_fixations,coarse_pos,YRP,5,0.2539891205802357,0.22936335734882682,0.21053337483248366
all_fixations,coarse_pos,YSD,5,0.282877009995654,0.2510204458605364,0.20981124302317816
all_fixations,coarse_pos,YSL,5,0.28285185185185185,0.2400910715346963,0.210761900525334
all_fixations,coarse_pos,YTL,5,0.3202637192165988,0.24559693544111952,0.23174577178204311
all_fixations,content_function,YAC,5,0.305019556714472,0.5517342793906088,0.30290789361746395
all_fixations,content_function,YAG,5,0.5790449325005038,0.5893162386007678,0.5485505552388112
all_fixations,content_function,YAK,5,0.4613733905579399,0.5813093453273364,0.4506216726890096
all_fixations,content_function,YDG,5,0.6648888888888889,0.598974549234254,0.5658120860934244
all_fixations,content_function,YDR,5,0.498282770463652,0.5807574315611699,0.4853640868430917
all_fixations,content_function,YFR,5,0.5408679927667269,0.5448910735376676,0.5176051834335392
all_fixations,content_function,YFS,5,0.4666276003515969,0.5609343152015662,0.45392568177731124
all_fixations,content_function,YHS,5,0.3727530747398297,0.5486506266745789,0.3716116959162217
all_fixations,content_function,YIS,5,0.6268348623853213,0.6701486378284973,0.5592581068060424
all_fixations,content_function,YLS,5,0.6474892395982783,0.5833367761439202,0.5699791273518097
